Timestamp,Sensor1_Data1,Sensor1_Data2,Sensor1_Data3,Sensor2_Data1,Sensor2_Data2,Sensor2_Data3
2025-06-18 22:21:02.518,7.4932,-3.8008,2.9834,6.1514,-4.1172,21.502
2025-06-18 22:21:02.661,7.4971,-3.8115,2.9844,6.1631,-4.1211,21.501
2025-06-18 22:21:02.780,7.5107,-3.8311,2.9873,6.1846,-4.1309,21.4912
2025-06-18 22:21:02.890,7.5078,-3.8184,2.9775,6.2002,-4.1621,21.4824
2025-06-18 22:21:02.997,7.5127,-3.8105,2.9893,6.2227,-4.2051,21.4639
2025-06-18 22:21:03.105,7.5176,-3.8154,2.999,6.249,-4.249,21.4453
2025-06-18 22:21:03.212,7.5234,-3.8145,2.999,6.2773,-4.2861,21.4248
2025-06-18 22:21:03.327,7.5312,-3.8174,2.9971,6.3008,-4.3037,21.4043
2025-06-18 22:21:03.447,7.5264,-3.8135,3.0,6.3184,-4.3262,21.4033
2025-06-18 22:21:03.568,7.5293,-3.8145,3.0137,6.3311,-4.3516,21.3857
2025-06-18 22:21:03.676,7.5273,-3.8125,3.0244,6.3389,-4.3682,21.3896
2025-06-18 22:21:03.780,7.5273,-3.8096,3.0371,6.3457,-4.375,21.377
2025-06-18 22:21:03.896,7.5234,-3.8086,3.0459,6.3535,-4.3887,21.373
2025-06-18 22:21:03.997,7.5283,-3.8057,3.0479,6.3701,-4.415,21.3721
2025-06-18 22:21:04.112,7.5205,-3.8086,3.0391,6.3828,-4.4189,21.3564
2025-06-18 22:21:04.211,7.5195,-3.8115,3.0566,6.3887,-4.415,21.3623
2025-06-18 22:21:04.328,7.5039,-3.7949,3.1123,6.4062,-4.459,21.3896
2025-06-18 22:21:04.447,7.4775,-3.7803,3.1553,6.4121,-4.4453,21.374
2025-06-18 22:21:04.541,7.4893,-3.7881,3.1279,6.4141,-4.4258,21.3672
2025-06-18 22:21:04.664,7.4834,-3.7705,3.1357,6.4258,-4.4502,21.3721
2025-06-18 22:21:04.764,7.4746,-3.7637,3.1436,6.4424,-4.4688,21.3623
2025-06-18 22:21:04.882,7.4844,-3.7705,3.1436,6.4463,-4.4795,21.3467
2025-06-18 22:21:04.989,7.4688,-3.7754,3.1562,6.4521,-4.4795,21.3486
2025-06-18 22:21:05.100,7.4707,-3.7715,3.1436,6.4541,-4.4844,21.3398
2025-06-18 22:21:05.212,7.4795,-3.79,3.127,6.4678,-4.4766,21.3105
2025-06-18 22:21:05.331,7.4785,-3.7949,3.1309,6.4805,-4.4805,21.3174
2025-06-18 22:21:05.443,7.4736,-3.8047,3.1455,6.4873,-4.4785,21.3135
2025-06-18 22:21:05.555,7.4629,-3.8174,3.124,6.5059,-4.4697,21.3174
2025-06-18 22:21:05.662,7.498,-3.8389,3.1416,6.5273,-4.4414,21.292
2025-06-18 22:21:05.780,7.5098,-3.8369,3.165,6.5352,-4.4014,21.3057
2025-06-18 22:21:05.886,7.5186,-3.8428,3.166,6.5527,-4.417,21.3115
2025-06-18 22:21:05.999,7.4785,-3.8125,3.1611,6.5928,-4.6084,21.29
2025-06-18 22:21:06.110,7.3115,-3.6523,3.1201,6.4854,-5.1553,20.9219
2025-06-18 22:21:06.220,7.0176,-3.4131,2.9814,5.6592,-5.2363,20.0674
2025-06-18 22:21:06.337,6.7383,-3.1992,2.7822,4.7891,-4.6895,19.5469
2025-06-18 22:21:06.447,6.5713,-3.0801,2.6865,4.4561,-4.4492,19.5186
2025-06-18 22:21:06.561,6.4141,-2.9678,2.6387,3.7178,-4.1885,18.5078
2025-06-18 22:21:06.673,6.3535,-2.8828,2.54,3.666,-4.2783,17.8691
2025-06-18 22:21:06.781,6.3291,-2.8311,2.5215,3.9062,-4.4502,17.7793
2025-06-18 22:21:06.893,6.3018,-2.749,2.4473,4.1875,-4.6797,17.667
2025-06-18 22:21:07.006,6.3203,-2.7227,2.4277,4.7363,-5.042,18.0752
2025-06-18 22:21:07.119,6.3447,-2.7168,2.4268,5.2207,-5.5068,18.7354
2025-06-18 22:21:07.256,6.3945,-2.7402,2.4365,5.6738,-5.9082,19.6074
2025-06-18 22:21:07.377,6.4307,-2.7588,2.4316,5.9541,-6.124,20.2529
2025-06-18 22:21:07.506,6.46,-2.8125,2.4521,5.9531,-6.1436,20.876
2025-06-18 22:21:07.614,6.6289,-3.0088,2.6494,6.0635,-5.9932,21.2695
2025-06-18 22:21:07.720,6.6953,-3.0889,2.6602,6.0068,-6.2217,20.5273
2025-06-18 22:21:07.828,6.8301,-3.2354,2.7891,6.1934,-6.5566,20.0195
2025-06-18 22:21:07.942,7.0078,-3.3496,2.916,6.8203,-6.6582,20.54
2025-06-18 22:21:08.040,7.0479,-3.3467,2.9697,6.8291,-6.4707,20.7568
2025-06-18 22:21:08.157,7.0898,-3.3115,3.002,6.8311,-6.5088,20.6699
2025-06-18 22:21:08.258,7.1055,-3.3223,3.0244,6.8496,-6.4951,20.6387
2025-06-18 22:21:08.375,7.1172,-3.3311,3.0449,6.8662,-6.4785,20.6104
2025-06-18 22:21:08.480,7.1387,-3.3398,3.0361,6.876,-6.4678,20.5918
