数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.0132475,1,-346.5,-487.8,-151.734,0,0,100,100,100,0,1
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.0176184,2,323.1,9.3,436.568,0,0,100,100,100,0,1
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.0188959,3,57.15,44.1,178.112,0,0,100,100,100,0,1
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.760385,1,-243.15,-471.75,-26.62,0,0,100,100,100,0,2
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.7617435,2,136.8,-48.15,98.01,0,0,100,100,100,0,2
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161246,1750579966.7629623,3,32.1,54.6,181.742,0,0,100,100,100,0,2
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.3203585,1,-226.8,-450.75,-20.086,0,0,100,100,100,0,3
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.3234088,2,125.25,-28.5,92.202,0,0,100,100,100,0,3
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.3248777,3,32.25,56.55,180.774,0,0,100,100,100,0,3
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.5530684,1,-221.1,-444.6,-16.94,0,0,100,100,100,0,4
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.554775,2,123.9,-25.95,93.412,0,0,100,100,100,0,4
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161247,1750579967.5562522,3,31.65,57.3,180.774,0,0,100,100,100,0,4
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161248,1750579968.051152,1,-218.55,-441.45,-15.488,0,0,100,100,100,0,5
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161248,1750579968.0527182,2,122.7,-25.95,92.686,0,0,100,100,100,0,5
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161248,1750579968.0539713,3,33.3,56.25,179.564,0,0,100,100,100,0,5
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161249,1750579969.6238577,1,-215.85,-436.8,-14.278,0,0,100,100,100,0,6
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161249,1750579969.626845,2,123.3,-24.75,93.654,0,0,100,100,100,0,6
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161249,1750579969.628566,3,33.0,58.2,180.532,0,0,100,100,100,0,6
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.0467515,1,-208.05,-428.55,-6.776,0,0,100,100,100,0,7
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.0496511,2,123.3,-25.05,91.234,0,0,100,100,100,0,7
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.0512347,3,32.25,57.6,180.532,0,0,100,100,100,0,7
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.545352,1,-205.2,-426.0,-6.05,0,0,100,100,100,0,8
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.5485358,2,122.7,-24.75,92.444,0,0,100,100,100,0,8
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161250,1750579970.5504053,3,33.3,56.1,180.29,0,0,100,100,100,0,8
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161251,1750579971.061151,1,-202.95,-422.55,-3.872,0,0,100,100,100,0,9
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161251,1750579971.0641549,2,123.15,-24.6,92.202,0,0,100,100,100,0,9
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161251,1750579971.0658147,3,32.25,57.0,180.532,0,0,100,100,100,0,9
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
