Timestamp,Data1,Data2,Data3
2025-06-11 15:53:16.218,0.584,6.4893,0.8115
2025-06-11 15:53:16.357,0.5762,6.4932,0.8105
2025-06-11 15:53:16.500,0.5713,6.499,0.8105
2025-06-11 15:53:16.643,0.5693,6.5029,0.8164
2025-06-11 15:53:16.786,0.5723,6.5068,0.8145
2025-06-11 15:53:16.923,0.5645,6.5107,0.8145
2025-06-11 15:53:17.072,0.5625,6.5137,0.8213
2025-06-11 15:53:17.211,0.5576,6.5186,0.8213
2025-06-11 15:53:17.360,0.5625,6.5205,0.8252
2025-06-11 15:53:17.491,0.5547,6.5244,0.8262
2025-06-11 15:53:17.630,0.5576,6.5293,0.8271
2025-06-11 15:53:17.796,0.5566,6.5293,0.8281
2025-06-11 15:53:17.924,0.5498,6.5312,0.8271
2025-06-11 15:53:18.057,0.5498,6.5361,0.834
2025-06-11 15:53:18.205,0.5439,6.5371,0.8291
2025-06-11 15:53:18.343,0.54,6.5381,0.832
2025-06-11 15:53:18.488,0.54,6.541,0.8359
2025-06-11 15:53:18.628,0.543,6.543,0.834
2025-06-11 15:53:18.780,0.5352,6.5469,0.8428
2025-06-11 15:53:18.915,0.5273,6.5557,0.8418
2025-06-11 15:53:19.055,0.5049,6.5732,0.8486
2025-06-11 15:53:19.212,0.5107,6.5547,0.8604
2025-06-11 15:53:19.363,0.5107,6.5508,0.8867
2025-06-11 15:53:19.472,0.4922,6.5312,0.8545
2025-06-11 15:53:19.610,0.5439,6.5391,0.8408
2025-06-11 15:53:19.761,0.5713,6.4912,0.833
2025-06-11 15:53:19.891,0.6045,6.4629,0.8848
2025-06-11 15:53:20.030,0.6416,6.3984,0.9385
2025-06-11 15:53:20.194,0.6523,6.3936,0.918
2025-06-11 15:53:20.335,0.6289,6.4199,0.8809
2025-06-11 15:53:20.452,0.6289,6.4268,0.8809
2025-06-11 15:53:20.594,0.6182,6.4229,0.8887
2025-06-11 15:53:20.753,0.6318,6.4082,0.9229
2025-06-11 15:53:20.877,0.6689,6.4404,0.9072
2025-06-11 15:53:21.013,0.665,6.4199,1.0449
2025-06-11 15:53:21.149,0.6494,6.4346,1.0693
2025-06-11 15:53:21.292,0.6396,6.4268,1.0957
2025-06-11 15:53:21.450,0.6377,6.3877,1.0713
2025-06-11 15:53:21.563,0.6562,6.4043,1.0742
2025-06-11 15:53:21.702,0.6475,6.416,1.0654
2025-06-11 15:53:21.843,0.6533,6.4316,1.0781
2025-06-11 15:53:21.996,0.668,6.4512,1.0566
2025-06-11 15:53:22.112,0.6738,6.4873,1.0479
2025-06-11 15:53:22.247,0.6504,6.5039,1.0107
2025-06-11 15:53:22.413,0.4551,6.4385,0.96
2025-06-11 15:53:22.536,0.3418,6.5264,0.751
2025-06-11 15:53:22.670,0.25,6.6309,0.5859
2025-06-11 15:53:22.812,0.1309,6.751,0.7041
2025-06-11 15:53:22.963,0.1328,6.7207,0.6562
2025-06-11 15:53:23.101,0.085,6.5723,0.8232
2025-06-11 15:53:23.238,0.041,6.5898,0.9238
2025-06-11 15:53:23.399,0.0039,6.71,1.1387
2025-06-11 15:53:23.537,0.0283,6.7607,1.3027
2025-06-11 15:53:23.655,0.0371,6.8291,1.4004
2025-06-11 15:53:23.794,-0.0293,6.6377,1.125
2025-06-11 15:53:23.933,-32.0,-32.0,-32.0
2025-06-11 15:53:24.036,0.0098,6.6025,1.2656
2025-06-11 15:53:24.179,-0.0312,6.6035,1.0312
2025-06-11 15:53:24.312,-0.0254,6.5713,1.1318
2025-06-11 15:53:24.451,-0.0293,6.5723,1.1445
2025-06-11 15:53:24.581,-0.0283,6.5732,1.1387
2025-06-11 15:53:24.721,-0.0293,6.5723,1.1406
2025-06-11 15:53:24.863,-0.0234,6.5723,1.1465
2025-06-11 15:53:24.992,-0.0322,6.5596,1.1289
2025-06-11 15:53:25.139,-0.1025,6.4951,1.0039
2025-06-11 15:53:25.279,-0.04,6.501,0.7432
2025-06-11 15:53:25.422,0.1279,6.6455,0.6133
2025-06-11 15:53:25.540,0.2051,6.7529,0.6133
2025-06-11 15:53:25.685,0.1982,6.7266,0.625
2025-06-11 15:53:25.838,0.2002,6.7422,0.624
2025-06-11 15:53:25.975,0.1963,6.7549,0.6182
2025-06-11 15:53:26.089,0.1953,6.7412,0.627
2025-06-11 15:53:26.226,0.1943,6.7334,0.6309
2025-06-11 15:53:26.367,0.1895,6.7383,0.6318
2025-06-11 15:53:26.513,0.1914,6.7393,0.6289
2025-06-11 15:53:26.654,0.1885,6.7266,0.6416
2025-06-11 15:53:26.776,0.1729,6.7168,0.625
2025-06-11 15:53:26.922,0.1885,6.7783,0.5771
2025-06-11 15:53:27.067,0.1807,6.8232,0.5557
2025-06-11 15:53:27.206,0.2227,6.9326,0.7129
2025-06-11 15:53:27.340,0.3252,6.9971,0.832
2025-06-11 15:53:27.496,0.4219,7.0674,0.8857
2025-06-11 15:53:27.642,0.3467,7.0117,0.7549
2025-06-11 15:53:27.763,0.2998,6.9492,0.6924
2025-06-11 15:53:27.898,0.3047,6.9619,0.7031
2025-06-11 15:53:28.048,0.3115,6.9688,0.708
